frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
0,621.9467,625.0768,615.31274,639.51807,606.08545,691.4069,592.378,798.51447,641.8061,678.0416,677.1706,714.6429,648.7385,710.4136,665.9206,709.7045,726.0649,419.7978,412.12946,414.77606,389.87146,399.09216,372.27362,376.62073,431.47888,425.34753,434.24695,432.47925,405.10657,405.08203,419.3761,414.615,447.27435,427.6371,0.27379912,0.47119835,0.0941571,0.40605804,0.029613078,0.76336825,0.12069389,0.95434517,0.078900725,0.93581283,0.19597474,0.36431032,0.100575626,0.08233443,0.01495406,0.023343325,0.006525278
1,622.79047,625.29004,616.111,639.2875,607.8962,691.53326,598.60315,797.1577,650.4281,678.7943,678.37225,718.38983,656.3418,714.0543,672.29175,714.6393,729.59143,419.02972,411.22925,414.21167,388.8105,398.92584,371.94373,376.77393,431.52655,424.70428,434.43298,432.0041,404.47565,404.29504,419.92938,414.64612,448.2397,427.74182,0.28712404,0.4872328,0.094427526,0.4222128,0.028293788,0.7642169,0.12490839,0.9533087,0.08196387,0.9357079,0.20534283,0.36546606,0.10309222,0.08496258,0.015911132,0.0242787,0.0069530606
2,625.51227,627.4853,619.01416,640.4989,611.3064,692.2448,604.18964,797.1049,658.3987,676.2326,680.22864,719.6663,660.7869,714.77637,675.5878,716.1347,731.403,418.07025,410.10962,413.30463,387.27356,397.97937,371.04938,376.8183,432.38098,425.95764,434.6145,431.4961,405.61383,405.4958,419.92474,414.6253,448.4135,428.09442,0.28622496,0.4809139,0.08848804,0.42874774,0.026425987,0.77043676,0.12920031,0.9554065,0.086372554,0.9391293,0.21731716,0.37302554,0.106485456,0.088517964,0.016729921,0.025092423,0.0072322786
3,625.7246,627.2616,619.88055,639.4776,613.5494,690.99475,608.1402,796.86646,665.6365,676.06665,682.17456,718.79254,663.2839,714.61194,677.9827,717.2071,731.7711,414.44708,406.87677,409.87885,385.17017,395.4214,370.30548,375.74072,432.59387,425.31927,434.97766,429.91138,407.61542,407.17065,418.46362,412.9402,448.76685,428.36707,0.28389955,0.46578324,0.084610075,0.42542282,0.02573511,0.77245975,0.1373179,0.95447737,0.09452376,0.9383073,0.23149735,0.37315163,0.10999331,0.08882728,0.017614841,0.025222152,0.007536143
4,626.8025,628.38214,620.6005,640.25165,612.9418,691.6512,605.6905,796.96124,660.88226,677.49603,682.2294,718.8717,661.56744,713.51886,675.51874,715.25977,730.64105,414.24597,406.49548,409.5763,384.5255,394.88635,369.87128,375.63513,432.60132,426.1043,434.54346,429.21497,409.5678,409.47314,419.65826,414.60315,450.52942,430.84277,0.27054113,0.44924352,0.08445504,0.40057558,0.026654303,0.7583863,0.1280357,0.95146203,0.087681204,0.93378216,0.21540084,0.35511953,0.10197428,0.08263478,0.016063213,0.023748904,0.0070069134
5,626.07465,627.7031,620.0664,639.7554,613.1515,690.72144,607.968,797.3777,667.1749,679.121,685.5166,719.1805,663.68567,714.3667,677.9915,716.36615,730.8527,415.0844,407.30817,410.31256,385.47888,395.6604,370.72235,376.99573,432.76337,427.37024,434.52222,429.03717,409.99377,410.03052,420.39868,415.58624,450.8805,431.60107,0.2689134,0.4441096,0.08221024,0.40200326,0.025799364,0.74860966,0.12551478,0.94803345,0.08709791,0.9303733,0.21488681,0.33985382,0.09770623,0.07751113,0.015437245,0.02221188,0.00669232
6,628.7607,629.9599,622.7711,640.97577,615.5938,691.793,609.3921,796.9332,665.0107,683.1304,685.1936,718.81915,663.99396,711.96594,675.9847,713.9569,729.3582,414.22137,406.56927,409.63806,385.0221,395.24127,371.0857,376.91528,432.59613,426.38763,433.90356,427.99854,409.31006,409.1806,419.7815,414.79614,449.03894,429.8506,0.26888725,0.44501433,0.08397129,0.40557954,0.027352631,0.7540235,0.13001245,0.9478494,0.087923974,0.9292613,0.21330467,0.34769663,0.10118428,0.08154267,0.016189784,0.02381444,0.007144809
7,627.45404,628.78,621.56055,640.3337,614.76196,691.418,608.48615,796.9512,664.48895,682.3317,684.9488,718.0051,662.8135,711.99274,675.84595,713.5605,728.9092,415.60504,407.80536,410.93286,385.70465,396.10187,371.14783,377.58783,433.16113,428.219,434.77722,429.59985,409.40253,409.55737,421.44678,416.87946,451.73846,433.09247,0.2601814,0.4427834,0.0790402,0.41202977,0.025356561,0.746707,0.1196768,0.9470563,0.0794259,0.9272722,0.19670552,0.33485875,0.09376234,0.07700735,0.014824212,0.022233903,0.0065315664
8,630.5649,631.4695,624.35,642.03735,616.82025,692.774,610.67554,795.9054,663.70575,684.77435,683.9592,715.4866,661.23157,710.21924,674.75055,710.9567,726.96246,413.64893,405.70642,409.11926,383.4311,394.50555,370.01715,376.87817,433.3777,428.2917,434.18646,427.25708,411.52795,411.75464,421.21356,416.862,451.06976,433.28455,0.25803113,0.43214357,0.080412686,0.4004598,0.026412934,0.7461934,0.12403166,0.94515914,0.08276832,0.9242577,0.19925171,0.3332361,0.094977826,0.07578918,0.014954507,0.022169799,0.0066274703
9,629.057,630.083,622.25397,642.1597,614.711,695.12616,609.1445,796.956,658.8268,687.3548,683.6268,718.5857,661.9509,711.80426,674.3181,712.1252,728.5244,416.92725,408.2987,412.1737,384.58063,396.77606,371.19043,378.3626,434.28595,429.6679,433.62146,429.46063,411.47656,411.76904,423.69733,419.09064,453.33942,435.154,0.26369983,0.45056215,0.08370933,0.41425914,0.027031392,0.7393446,0.12115818,0.94086933,0.07756421,0.917511,0.18618175,0.31737512,0.08937946,0.0695748,0.013655961,0.020286173,0.006061822
10,627.14246,629.6116,619.5762,643.7869,609.71893,696.88763,598.3561,798.12604,638.32697,685.8375,670.68445,716.5329,651.95996,707.50995,663.8283,705.55994,723.5143,421.22882,412.4707,416.06604,388.40613,399.87512,373.88702,379.10034,434.661,427.37305,436.92987,433.59973,412.10107,411.9181,427.2954,422.10205,455.4494,436.3828,0.2765796,0.48790824,0.097798645,0.41992238,0.029266149,0.7372626,0.11600715,0.94079983,0.07105696,0.91470945,0.16882417,0.32026115,0.088462085,0.0672594,0.012541711,0.019688487,0.0056432486
