frame,kp_0_x,kp_0_y,kp_0_conf,kp_1_x,kp_1_y,kp_1_conf,kp_2_x,kp_2_y,kp_2_conf,kp_3_x,kp_3_y,kp_3_conf,kp_4_x,kp_4_y,kp_4_conf,kp_5_x,kp_5_y,kp_5_conf,kp_6_x,kp_6_y,kp_6_conf,kp_7_x,kp_7_y,kp_7_conf,kp_8_x,kp_8_y,kp_8_conf,kp_9_x,kp_9_y,kp_9_conf,kp_10_x,kp_10_y,kp_10_conf,kp_11_x,kp_11_y,kp_11_conf,kp_12_x,kp_12_y,kp_12_conf,kp_13_x,kp_13_y,kp_13_conf,kp_14_x,kp_14_y,kp_14_conf,kp_15_x,kp_15_y,kp_15_conf,kp_16_x,kp_16_y,kp_16_conf
0.0,643.82605,307.70837,0.98609746,659.0594,292.80103,0.9668939,629.0027,293.0738,0.97406805,680.0931,303.35144,0.72567505,606.5169,302.6615,0.83825433,720.024,383.36316,0.9844444,569.0748,386.13605,0.9801154,770.49,480.96057,0.8972186,523.399,491.90637,0.87108696,679.04004,507.8864,0.86596584,613.7106,511.9115,0.8516551,700.10034,563.50433,0.5304232,605.08154,563.96387,0.52134424,694.69336,532.82056,0.041796327,609.38794,532.997,0.0382801,654.96924,567.3641,0.006090313,609.03406,562.12225,0.005472958
1.0,643.78436,307.7646,0.9861774,659.0644,292.83624,0.9667944,628.8517,293.09753,0.9744494,680.02203,303.54492,0.7222942,606.15894,302.82135,0.8404856,719.60803,383.40717,0.98435175,568.7816,386.07544,0.9800774,770.3346,480.912,0.8966057,522.9571,491.7525,0.8713308,679.2284,508.04865,0.86532235,613.4964,512.2221,0.852062,699.8849,563.21814,0.5308172,604.88904,563.73413,0.52224135,695.4236,532.67236,0.041940093,610.08405,532.9096,0.0385423,656.14575,567.6959,0.0061167777,608.9456,562.6832,0.0055063963
2.0,643.643,307.78497,0.98622066,659.01434,292.94702,0.9665749,628.6963,293.06238,0.9747161,679.8616,303.89215,0.7188356,605.7764,302.84497,0.84262097,719.1471,383.5172,0.9843707,568.49176,385.90198,0.9801655,769.81024,481.37115,0.89637053,522.88525,492.08777,0.87206507,678.0897,508.26178,0.8648555,613.437,512.4019,0.8525552,699.641,563.0518,0.53301793,604.6302,563.4057,0.52506775,695.2506,532.1832,0.042468756,609.79944,532.028,0.039139837,656.78766,566.7936,0.006226659,608.4505,561.35986,0.0056133866
3.0,643.4813,307.70093,0.9862691,658.95483,292.92035,0.9666517,628.55383,292.90112,0.97476053,679.86316,303.96008,0.7191081,605.5655,302.6046,0.8424925,719.0292,383.67908,0.98448646,568.313,385.55896,0.9802254,769.7736199999999,481.63135,0.89712244,522.75146,491.7857,0.87274265,677.91113,508.14648,0.8659086,613.3104,512.3623,0.8534808,699.1131,563.2324,0.5353267,604.03564,563.30225,0.52716637,695.1477,532.4955,0.042711705,609.532,531.7228,0.039359033,656.92096,566.89594,0.006248623,608.0908,560.8466,0.005633503
4.0,643.44446,307.74957,0.98627114,658.94653,292.91583,0.9666295,628.52527,292.86365,0.9748168,679.8715,303.86694,0.71849895,605.5341,302.44196,0.8427875,719.03265,383.60535,0.98443073,568.437,385.4095,0.9802257,769.8896,481.70886,0.89653516,522.7809,491.87054,0.8727099,677.878,507.9458,0.865536,613.2608,512.3866,0.8536309,699.0848,562.78345,0.53454584,604.1449,562.78186,0.5269038,695.08984,532.1273,0.0429042,609.7239,531.1482,0.039621145,656.8274,566.57477,0.0062993765,608.2148,560.2235,0.005688876
5.0,643.53925,307.78876,0.98624015,659.0023,292.96143,0.9664874,628.62146,292.91052,0.9748384,679.79987,303.9237,0.7173457,605.5518,302.5042,0.8435457,719.10583,383.68933,0.98439527,568.3567,385.50452,0.98016787,770.08182,481.812,0.89621186,522.8933,491.9364,0.87221956,677.5353,508.07556,0.86496615,613.2041,512.4029,0.8529469,699.1125,563.1238,0.5330855,604.0601,563.0979,0.5252896,694.8881,532.667,0.042424858,609.4861,531.68805,0.03913489,656.5207,566.76306,0.0062181354,608.18115,560.4281,0.0056089163
6.0,643.4805,307.56946,0.9863898,658.9243,292.7702,0.9664737,628.4617,292.73645,0.97510576,679.6345,303.94055,0.7156644,605.2947,302.5846,0.8451319,718.6574,383.56055,0.9847307,568.4834,385.2079,0.98060286,769.49265,481.53674,0.89793336,522.70746,491.20447,0.8750087,677.5418,508.19244,0.8670058,612.6167,512.0646,0.85605603,699.07513,561.36926,0.54285425,604.3949,561.3134,0.5356127,695.1793,529.3474,0.045164526,610.1987,528.22766,0.04181862,657.1964,564.1633,0.0066992044,608.1785,557.7171,0.0060577393
7.0,643.2054,307.4488,0.98633075,658.67816,292.65186,0.9665353,628.16345,292.61993,0.9750866,679.5699,303.8803,0.71745396,605.0502,302.53772,0.84476364,719.1993,384.23975,0.98433316,568.03625,385.77704,0.9805163,769.08417,482.0039,0.8939661,522.39124,491.599,0.87352085,677.60394,508.37585,0.862327,613.10077,512.03253,0.85372996,699.3464,562.67114,0.5325136,604.0681,562.444,0.52784085,695.17303,530.2717,0.043543667,609.3109,528.514,0.040700525,656.2389,565.40283,0.0065086186,608.6657,557.7632,0.005932063
8.0,643.14703,307.68384,0.9862769,658.58734,292.89148,0.9664409,628.10474,292.78387,0.97496027,679.31635,304.02954,0.7166435,604.8046,302.5396,0.84451264,718.97656,384.5019,0.9843912,567.6833,385.87854,0.9803227,768.8643999999999,482.2918,0.894959,522.44635,491.68372,0.87257236,676.824,508.29254,0.86370957,613.0679,512.08374,0.8534063,699.3042,563.36414,0.53207743,603.8876,563.0496,0.525717,694.7316,531.02875,0.0430862,608.525,529.1982,0.039955676,655.49,565.2363,0.0064105093,608.0592,557.6174,0.005807519
9.0,643.0621,307.71832,0.98615503,658.42944,292.89386,0.9662627,628.10144,292.80298,0.9747083,679.04724,303.90918,0.717362,604.8759,302.44666,0.8441049,718.9234,384.6261,0.98438907,567.21246,386.23114,0.9802259,768.80753,482.57825,0.89457417,522.0828,492.35504,0.8708869,676.68945,508.4428,0.8627943,612.7242,512.1864,0.8512207,698.9285,563.9609,0.52732205,603.33606,563.7437,0.51991093,693.72644,531.2082,0.04217878,607.42786,529.7175,0.03889677,653.82733,565.62634,0.0062665045,607.99054,558.31335,0.0056519806
