frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
0,627.9918,642.49384,613.7869,662.4152,593.4724,688.5975,564.68585,691.559,549.4677,650.81335,571.52344,664.3594,578.885,663.86176,557.4314,648.58215,591.0947,334.89783,321.56683,322.39435,332.6869,334.4688,407.13745,407.8424,490.1106,487.4021,544.0539,556.28827,577.4357,578.0781,604.47705,608.63763,616.88336,626.4756,0.98855865,0.9677069,0.97439826,0.74843526,0.83624506,0.9896662,0.9916748,0.931571,0.94558895,0.8820925,0.89653337,0.8812556,0.8800772,0.20455864,0.20381355,0.029727101,0.030069798
1,628.05676,642.5449,613.78546,662.522,593.5001,688.882,564.651,691.4909,549.50555,650.4026,571.6111,664.5326,578.9709,662.7463,557.39246,646.48456,591.05707,334.7881,321.43707,322.3678,332.61884,334.6211,407.25635,407.9403,491.22815,487.95026,544.8273,556.78345,577.9246,578.5818,605.9248,610.40216,618.3011,628.55237,0.988505,0.96755975,0.97430396,0.7489121,0.83662933,0.9897102,0.99174523,0.9311012,0.94549906,0.8803984,0.8954179,0.88105285,0.8801768,0.20321643,0.20280644,0.029363692,0.029734403
2,627.6944,642.4193,613.5966,662.6693,593.4913,689.0635,564.3637,691.31213,549.9443,650.89844,571.8307,665.02856,579.0437,663.968,556.18994,646.713,589.7081,334.68335,321.42755,322.27478,333.0537,334.7193,407.43756,408.18896,492.05774,489.388,545.6933,558.4407,574.83716,575.52466,594.56934,599.0737,611.3025,621.6257,0.988592,0.968421,0.9740391,0.7561165,0.8339771,0.9901532,0.9917253,0.9327613,0.9432342,0.8810301,0.890995,0.88512635,0.88193667,0.23114884,0.22604793,0.036649823,0.036477596
3,627.6945,642.41595,613.5818,662.6054,593.4272,688.7884,564.3773,691.50745,549.84906,650.4876,571.62726,664.97327,579.1623,663.9964,557.5947,647.8864,591.2447,334.90875,321.6761,322.41077,333.19116,334.65765,407.4591,407.95764,491.91614,488.79266,545.44525,557.1057,577.09326,577.7012,601.66064,606.01764,615.2968,625.4707,0.98859,0.9682808,0.9740792,0.7546878,0.83342373,0.98995686,0.9917125,0.93243045,0.9442688,0.881451,0.8933212,0.8838104,0.881451,0.21590707,0.21294114,0.032431066,0.032544672
4,628.0818,642.6146,613.93976,662.58813,593.68085,689.03546,564.30396,691.50195,550.04675,650.16785,571.99066,665.2747,579.3996,666.0083,558.97174,648.0763,592.929,335.3565,322.0193,322.8305,333.13434,334.77808,408.0088,408.3366,493.42798,489.58673,546.0275,556.89557,576.2842,576.96094,598.2912,602.85516,612.09534,622.91077,0.9884856,0.9678504,0.97408825,0.75295174,0.8359122,0.9900888,0.9918198,0.93215036,0.9441756,0.88037515,0.89300025,0.8846764,0.8824092,0.22469798,0.22203839,0.034903616,0.03505805
5,628.2516,642.72144,614.1169,662.72766,594.0036,689.5245,564.58765,691.38464,550.36334,650.2414,572.8191,665.32434,579.46515,664.5083,559.13763,644.7467,593.7731,335.56934,322.141,323.0553,332.78857,334.66418,407.70532,407.96478,493.79773,489.65375,546.7213,558.6204,578.203,578.79376,602.006,606.43567,614.11194,625.0146,0.9882528,0.96717,0.9737782,0.75197744,0.83585095,0.989855,0.9918008,0.9301555,0.94432104,0.8764873,0.8916075,0.87825584,0.87727714,0.20517588,0.20491251,0.030769676,0.031197399
6,628.67017,643.08307,614.4296,662.9431,594.14764,689.94824,564.96277,691.00916,550.33813,650.0157,572.5297,665.32477,579.60345,662.5213,558.1686,642.25287,593.6338,335.4159,321.9859,322.9464,332.64923,334.6822,407.75555,407.74408,494.05957,489.0581,546.51294,557.1158,577.72675,578.0169,600.1427,603.9795,612.83826,622.734,0.9882238,0.96676385,0.97382045,0.7490776,0.8378139,0.98989654,0.9919421,0.929697,0.94503963,0.87584305,0.8927198,0.8779564,0.87784535,0.2074855,0.20805281,0.03144875,0.03196928
7,628.8008,643.2196,614.54254,663.0087,594.1836,689.87854,565.3827,691.0092,550.54724,651.3201,572.48706,664.74786,579.3178,661.69775,556.8808,641.6953,591.7699,335.26416,321.90216,322.88513,332.7155,334.78802,407.59625,407.42743,492.74286,487.586,546.10095,556.92786,575.99677,576.1063,595.778,599.21893,611.3314,620.5027,0.98836064,0.9668411,0.9741312,0.7471888,0.83995646,0.99013656,0.9920843,0.931326,0.94612736,0.8784569,0.8947104,0.8829962,0.8825748,0.22324833,0.22295278,0.034947336,0.03536567
8,629.09064,643.4335,614.7014,663.1658,594.1856,690.0182,565.52454,690.81586,550.5665,651.13153,572.6102,664.17896,578.795,661.2764,556.7099,640.75275,591.5303,335.43262,322.00476,323.13007,332.63763,335.03552,407.68475,407.32538,492.95844,487.00122,546.0924,556.98645,576.1077,576.1474,595.436,598.8991,611.352,620.7627,0.9883604,0.9664566,0.9744185,0.74293697,0.8428633,0.9901062,0.9921366,0.93090296,0.94676673,0.8780379,0.89572674,0.8824364,0.8826082,0.22252247,0.22325072,0.03486243,0.035373658
9,629.5471,643.77014,614.94556,663.3472,594.18567,689.7834,565.97534,690.8314,550.7538,651.22766,572.7032,664.1645,579.0361,661.3169,557.02704,642.54694,590.49713,335.34412,321.83728,323.07104,332.44513,335.15424,407.4793,407.09888,492.88275,486.26697,546.0424,555.88336,576.93616,577.0464,601.9428,605.7681,616.27405,626.16437,0.9884473,0.96619153,0.9749478,0.7362454,0.8457308,0.9898414,0.99209625,0.93031836,0.9479651,0.8783268,0.89845705,0.8821409,0.88331056,0.21148843,0.21402434,0.031521678,0.03218642
10,629.45416,643.63904,614.9404,663.2457,594.2814,689.96533,566.02875,691.17065,550.7474,651.8756,572.3834,664.2251,579.02136,661.5054,555.92444,642.42456,589.87,335.62634,322.0929,323.36462,332.41278,335.1845,407.6021,407.22375,493.10522,486.25403,545.926,554.7536,576.4486,576.5031,597.6693,601.44775,612.6867,622.5416,0.9883728,0.9662585,0.97473866,0.7384267,0.84415984,0.9897923,0.992026,0.9297615,0.94726086,0.87776005,0.8976064,0.8800558,0.8811959,0.21419156,0.21649039,0.032820046,0.03348452
11,629.2705,643.4241,614.8785,663.00073,594.33636,689.8418,566.1552,691.2456,550.9215,651.767,572.5882,664.4646,579.4824,662.1078,556.5284,642.95166,591.1959,335.7697,322.22595,323.4485,332.19604,334.85022,407.2047,406.83942,492.37988,485.71906,545.749,554.41455,576.03253,576.0692,595.0958,598.67487,610.21423,619.7536,0.98832303,0.9661913,0.9744997,0.7401187,0.84279144,0.9898562,0.99210083,0.930387,0.94787705,0.87908727,0.8989332,0.8804176,0.88172317,0.21688509,0.2195754,0.033649296,0.03440696
12,629.16785,643.33075,614.75653,663.02783,594.3451,689.99133,566.2764,691.507,550.957,652.2499,572.43774,664.1952,579.3354,661.6381,557.01263,641.7896,592.06165,336.14197,322.53247,323.85742,332.37054,335.2426,407.18768,406.99988,492.0072,485.437,545.27875,553.84924,576.0139,576.1192,593.6516,597.378,608.85547,618.5051,0.98832065,0.9665786,0.97423077,0.74450433,0.8401653,0.98996055,0.9920485,0.930675,0.946825,0.87908083,0.8971439,0.8809066,0.88136476,0.22093251,0.2222794,0.03479904,0.03541118
13,629.2278,643.34906,614.7797,663.0473,594.3452,690.0902,566.2107,691.58527,551.0364,651.4556,572.66187,664.3582,579.3328,662.6391,557.20966,642.3962,591.76495,336.21014,322.5218,323.92627,332.29504,335.34668,407.0509,407.3233,492.22156,486.5188,545.65735,555.0786,575.3255,575.65674,591.92065,595.97546,607.67615,617.6458,0.98829216,0.96657777,0.974225,0.74454194,0.8402828,0.9899422,0.9920187,0.93042207,0.9463662,0.8785713,0.89625895,0.8807295,0.8810165,0.22404703,0.22512203,0.03581667,0.03640759
14,629.19995,643.47107,614.66425,663.33636,594.1243,690.1686,566.1275,691.4834,550.81793,651.6929,572.9761,664.4551,579.1834,661.6696,555.87726,642.924,590.3944,336.4618,322.69092,324.04004,332.6228,335.55017,407.58752,407.5605,492.89313,486.7066,546.153,555.9234,576.24097,576.39417,597.33704,601.09814,612.05707,621.79504,0.9883283,0.9666375,0.97441506,0.74305195,0.84024954,0.98968625,0.9918952,0.92959356,0.9465445,0.8781965,0.8967985,0.87797964,0.87881523,0.21066552,0.21249533,0.03220284,0.03284067
15,629.5087,643.7624,614.9002,663.61566,594.2745,690.13324,566.27106,691.3436,550.73773,652.0931,573.27655,664.8556,579.6459,661.69617,556.44977,643.4577,590.50134,336.65454,322.8227,324.1845,332.64447,335.62866,407.46057,407.6485,492.10223,486.43604,545.99304,556.6785,577.38855,577.7279,604.37787,608.4816,617.206,627.33936,0.9883424,0.9665166,0.9746446,0.74049675,0.84161055,0.989537,0.991848,0.92943615,0.9470624,0.87819177,0.89757484,0.87840915,0.87953115,0.20106313,0.20349243,0.0293445,0.030003369
16,629.56244,643.7367,614.92413,663.5851,594.41693,690.1457,566.3554,691.69305,550.6074,652.95544,573.3679,664.2491,579.071,661.47754,557.48,643.28955,590.7879,336.4098,322.74298,324.2207,332.92853,336.19592,407.3131,407.8321,491.12952,486.03516,545.05505,556.573,578.626,579.177,607.95374,612.44604,619.8664,630.2412,0.9883907,0.9666537,0.97471637,0.7406975,0.841745,0.98952603,0.9917821,0.92958033,0.9467095,0.87790596,0.896633,0.87862,0.87925357,0.19544858,0.19739512,0.027838051,0.028406024
17,629.5731,643.76764,614.88837,663.6578,594.348,690.2901,566.3939,691.6173,550.673,652.9248,573.3174,664.7407,579.47485,661.05835,557.2108,642.61304,590.3673,336.61517,322.8551,324.34595,332.85535,336.15637,407.0987,407.70282,491.19666,486.09985,545.1826,555.7737,578.8734,579.4046,610.80676,615.244,622.2703,632.44727,0.9883244,0.96652865,0.97466415,0.7402571,0.84167945,0.9894036,0.99173117,0.92880154,0.9465491,0.87654024,0.8961787,0.8775707,0.8785825,0.19041485,0.19282192,0.02663055,0.027239382
