frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
0,632.90845,646.11646,617.0053,663.14594,595.13556,688.2896,566.5837,720.0724,500.51364,619.1775,486.72333,640.7168,564.2755,610.813,538.41644,638.8158,592.72266,339.24908,325.25146,327.3214,333.09705,337.95312,432.25427,395.57306,520.91956,357.4947,531.6382,252.11157,606.2908,593.2443,605.5017,620.02734,599.7388,639.9513,0.9876524,0.95913297,0.97170913,0.6994369,0.77927274,0.97191906,0.9936012,0.8808975,0.9807521,0.9127776,0.97990817,0.67388576,0.7994076,0.03428322,0.0654853,0.0025286376,0.004085064
1,632.6541,645.858,616.9292,662.905,595.23315,687.97614,566.1475,719.86804,500.30618,618.6979,486.63995,640.1797,563.376,611.1763,536.66046,639.96356,590.2688,338.96497,325.1062,327.10254,333.08594,337.7365,431.94995,395.20056,520.7295,357.12622,531.51215,251.53027,605.64886,592.62134,606.2438,621.0611,600.3351,641.1465,0.9877081,0.9594922,0.97173345,0.7023475,0.77864516,0.97227824,0.9936489,0.8835074,0.98101115,0.91443026,0.9801128,0.68347573,0.80562705,0.0355002,0.06743029,0.0025974214,0.0041828454
2,632.37274,645.57544,616.7783,662.79205,595.4313,688.08264,566.3946,719.8482,500.26367,617.67224,486.83762,640.1349,563.1942,611.3535,535.8233,642.08527,589.62604,338.495,324.7561,326.7608,333.04706,337.74005,432.08105,395.4049,520.881,357.2484,531.26733,251.33044,606.4985,593.4515,607.25244,622.03485,600.5239,641.2122,0.98771787,0.9598944,0.9714656,0.70612776,0.77390635,0.97159845,0.99354184,0.88264275,0.98097384,0.9148128,0.9802185,0.6748583,0.79995227,0.03312975,0.06328645,0.0023894012,0.003863275
3,632.5882,645.5216,616.93964,662.24146,595.3712,687.77136,565.9929,720.04504,500.0079,617.44745,487.1623,640.0403,563.0216,611.927,536.3209,642.4745,589.9045,337.99457,324.38483,326.4336,332.75403,337.63574,431.6725,395.16968,520.0858,356.4436,530.7605,250.61395,606.6426,593.8043,607.1587,622.41547,600.1554,641.3758,0.98768795,0.95923436,0.97162735,0.7009854,0.77812684,0.9717783,0.9936079,0.88379216,0.9812887,0.9154835,0.980499,0.67709255,0.8016373,0.033017814,0.06313288,0.0023676753,0.0038261712
4,632.68665,645.4989,616.9149,662.0786,595.2134,687.7676,565.7424,720.3071,499.5747,617.211,487.23135,639.7817,562.80566,611.6371,537.2047,641.62695,591.1354,337.6261,323.96655,326.12427,332.28632,337.46448,431.3656,395.09137,520.04987,356.31104,531.2284,250.1253,606.2105,593.5354,606.57245,622.17786,598.7481,640.26276,0.987602,0.95872927,0.9714394,0.6994068,0.77870584,0.9718505,0.9936585,0.8837918,0.98139787,0.9153539,0.98058355,0.67537284,0.80066466,0.03252411,0.062360436,0.002326101,0.003763467
5,632.69,645.31537,616.94965,661.8634,595.4734,688.14404,565.78516,720.76886,499.22943,617.7693,486.9096,639.97363,562.81866,612.245,537.4049,641.1928,590.93085,337.17224,323.46466,325.78992,331.62396,337.17303,430.90497,394.62598,519.8792,355.32947,531.59467,249.4798,605.51917,592.9046,607.40137,623.30164,599.56464,641.61633,0.9874822,0.9585321,0.9710711,0.70183754,0.77744764,0.97218275,0.99372184,0.8846921,0.9815123,0.91518015,0.9805235,0.6829702,0.806041,0.033629894,0.06442052,0.0023971498,0.0038806498
6,632.71344,645.3031,616.9484,661.75934,595.4475,688.05255,566.0855,720.5531,499.17087,617.9519,486.69583,640.0032,563.3259,611.5403,538.529,639.4,592.0482,337.09277,323.3297,325.66016,331.2749,336.8498,430.60767,394.35284,519.5249,355.10767,531.34796,249.02075,606.0607,593.38916,607.4992,623.01355,600.4916,641.7241,0.987402,0.9581368,0.9708977,0.7002588,0.7775397,0.9722866,0.9937365,0.88427156,0.98146653,0.9145905,0.9804287,0.6820088,0.80543244,0.03374529,0.064682126,0.0024142861,0.003910899
7,632.7313,645.37787,616.97687,661.76434,595.4029,687.60297,566.01794,720.3446,499.09164,618.2749,486.24002,639.3817,562.8829,610.5261,537.244,639.4937,591.2859,337.0133,323.25458,325.53577,331.28467,336.7544,430.47327,394.29614,519.2356,354.96875,530.8679,248.42029,606.0449,593.41156,604.058,619.7958,596.73785,638.1918,0.9874375,0.95821816,0.9709333,0.6986153,0.7764237,0.9718081,0.99360824,0.88348293,0.9812093,0.9148364,0.9803401,0.6711714,0.79728824,0.032416195,0.062001556,0.00234887,0.0037924945
8,632.975,645.5585,617.14197,661.8974,595.56934,687.6364,566.13245,720.37683,498.81738,618.5389,485.7215,638.7915,562.46765,609.7943,537.0755,637.78845,590.7557,336.77576,322.90967,325.32135,330.90363,336.67938,430.47534,394.4926,518.936,355.02222,530.2353,249.30774,606.14343,593.62463,602.3961,618.5163,595.032,637.1571,0.98743224,0.9581107,0.9709077,0.69824004,0.7765654,0.9719766,0.9936206,0.8836361,0.98111844,0.91504747,0.98027194,0.6708605,0.7967049,0.03281769,0.0625833,0.0024002194,0.0038651824
9,632.9083,645.60004,617.04407,662.23047,595.62805,687.86475,566.32,720.13995,498.68164,619.05133,485.1639,638.8592,562.22095,610.59235,536.3486,639.7011,589.71814,336.326,322.48773,324.98425,330.81537,336.73938,430.51874,394.42535,518.6427,354.03784,529.65967,248.3899,606.68665,594.1877,602.5115,618.856,595.1201,637.5657,0.98761195,0.95892644,0.9712111,0.6998005,0.77528816,0.97155106,0.99349195,0.882699,0.9808347,0.9147427,0.9800674,0.66645163,0.79319906,0.031966984,0.0608961,0.0023363233,0.0037580132
