frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
0,630.60065,642.101,621.2121,662.9881,603.3035,697.2057,572.834,727.10754,550.06036,683.95734,571.1917,678.18274,594.4141,690.6473,582.47906,677.2601,590.74225,379.98157,370.2317,368.8568,355.08386,351.30725,373.11047,371.50897,456.55273,457.594,463.22803,467.2221,501.05316,500.99622,507.57434,508.00934,498.49036,499.45886,0.900609,0.8882084,0.8527645,0.48700786,0.3852146,0.9064978,0.8886112,0.7381762,0.65052783,0.5533469,0.4707871,0.39868894,0.3640356,0.016557962,0.014473438,0.0038975477,0.003592521
1,630.6419,641.83826,621.4756,662.38385,603.89813,697.0531,573.3633,726.8617,550.82764,683.83826,572.7133,678.5195,595.1579,690.39044,582.5817,676.78217,589.64685,378.47412,369.00446,367.67346,354.6366,350.9469,372.95654,371.6687,456.10828,457.2083,462.41467,463.3817,500.258,500.3849,505.56445,506.47015,496.90295,498.57422,0.8922914,0.88034743,0.8370378,0.48159605,0.36408436,0.90392876,0.881217,0.7408891,0.63615036,0.5575542,0.46199188,0.39907667,0.3594949,0.017329842,0.014767319,0.004134774,0.0037429333
2,631.2161,642.5204,621.68256,663.1323,603.7202,697.4948,573.8209,727.03687,550.86816,685.08044,571.76135,679.46454,596.0039,691.8546,583.202,678.0684,589.4906,379.34558,369.5708,368.42078,354.56348,351.3274,372.46002,371.72003,455.62408,456.9215,461.40833,460.97852,500.40894,500.7771,506.7917,507.9265,498.12433,500.0221,0.8992672,0.88782024,0.8481479,0.48859492,0.3786843,0.9079658,0.8864458,0.74705553,0.6438092,0.56568974,0.4708504,0.40783203,0.36774254,0.017548561,0.0149382055,0.004119456,0.003727734
3,632.0179,642.9588,621.5191,663.21497,602.43823,698.9228,572.831,728.3512,551.67365,684.9112,583.703,677.1082,591.531,694.7925,578.13153,691.2709,594.1389,381.04407,370.5498,370.15057,354.3999,353.07983,373.44446,371.63544,456.9276,453.77936,462.575,458.88593,494.17938,493.84442,505.39075,505.29773,499.67877,499.69446,0.904546,0.9042274,0.8568012,0.5462307,0.40161988,0.93222415,0.87519705,0.82037556,0.5723094,0.6396398,0.41164848,0.44668162,0.36232424,0.021708786,0.014424562,0.00501281,0.0036595166
4,631.8935,643.5063,621.57086,664.1419,602.4692,697.81836,572.9421,727.8015,549.7898,686.18066,571.45026,680.4502,596.25287,693.98505,584.26654,680.1594,592.49316,381.66888,371.18146,370.2992,354.82343,352.29724,372.21912,372.63495,454.96747,458.5816,461.99976,465.12878,500.45813,501.39246,507.61438,509.08435,498.09296,500.28394,0.9134433,0.90157664,0.87588036,0.49968308,0.43717027,0.9183135,0.90060174,0.7611662,0.66628695,0.57955754,0.48781446,0.41812396,0.37794524,0.017078936,0.014598697,0.003882736,0.0035242438
5,632.0539,643.8458,621.2105,664.71985,601.50757,698.2343,572.6941,728.38,548.8135,686.02893,571.3209,680.47925,596.0725,693.22595,584.4654,679.2049,595.5008,383.95935,372.87054,372.22534,355.3246,353.42395,372.58722,373.36243,454.34253,457.99622,462.77063,466.16187,499.97974,500.9513,508.25323,509.5077,498.011,500.04773,0.9216633,0.91085887,0.88972175,0.5164789,0.4673123,0.92285347,0.9071579,0.76399213,0.67459744,0.5836376,0.4960675,0.42102647,0.3820666,0.016899228,0.014549047,0.0037987232,0.0034641027
6,631.2876,643.04724,620.96277,664.24335,602.0791,698.27045,573.0351,728.1608,549.5153,685.18494,570.55,681.29675,596.90765,693.48895,584.17816,679.5851,593.3031,382.44458,371.75854,370.91174,354.84332,352.40497,371.96265,372.47546,454.54224,458.16412,461.9403,465.35107,500.67303,501.54797,508.82098,510.1411,498.2245,500.33612,0.91482127,0.90454435,0.874466,0.5119046,0.42461187,0.91883117,0.90181696,0.76354474,0.6721257,0.5842622,0.49557507,0.41998523,0.38134712,0.016725272,0.014367908,0.0037234128,0.0033940673
7,632.36633,643.3822,621.5026,664.1009,602.25635,700.2738,573.66595,728.57904,551.6957,684.4073,583.92346,679.3033,593.453,697.07245,579.4518,693.77985,596.38165,382.123,371.15308,370.97534,353.80884,353.02637,372.79016,371.25336,457.65894,454.1364,462.37982,458.2721,494.70288,494.47644,506.04553,505.8672,499.7433,499.65356,0.91103,0.9126831,0.8644059,0.56642175,0.40693212,0.93484735,0.87953115,0.8224368,0.57507205,0.64099485,0.41412762,0.440901,0.35682195,0.020628542,0.0136809945,0.0046931505,0.0034269989
8,632.7403,643.9182,621.49243,664.5486,601.5601,700.4032,572.92365,729.1214,550.64545,685.0287,582.6195,679.3884,592.92773,698.12744,579.7657,694.9068,597.5491,383.38885,372.16663,372.02582,354.44342,353.79596,373.2727,371.89966,457.18805,454.0844,463.66028,461.00806,494.56738,494.46802,506.8675,506.67212,500.20178,500.03693,0.91672444,0.91709375,0.87789893,0.5646527,0.43709755,0.9363479,0.88460106,0.8219637,0.58383274,0.64007545,0.41969436,0.4413128,0.35918915,0.02016902,0.01351434,0.004568577,0.0033588111
9,632.8782,644.1657,622.5511,664.5027,603.67395,698.40967,574.79065,727.0517,550.597,685.3497,570.2576,680.8747,597.4798,693.07855,583.9872,679.19904,591.2807,380.94025,370.59882,369.8424,354.33942,352.1795,371.82288,371.59912,454.28546,456.19678,462.08417,466.32397,499.48175,499.8999,508.36304,508.98242,499.2655,500.1162,0.91584826,0.90372366,0.8783385,0.50371563,0.44027993,0.9206563,0.9050075,0.7675611,0.6814368,0.5880066,0.5030514,0.43141702,0.3934746,0.017598212,0.01511845,0.0039069653,0.003559351
