frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
0,635.7796,648.07184,621.5932,667.3278,604.1783,693.8008,575.99176,754.2029,508.2531,682.7323,590.5695,661.6145,584.7364,660.3119,572.8341,688.9485,588.29205,332.2577,319.87708,319.76068,326.18054,328.48108,385.41125,385.31512,334.38696,328.90698,308.5658,301.76227,566.05194,566.4041,609.3928,614.0118,619.0796,625.3231,0.9854914,0.96917605,0.9643841,0.7943422,0.6941545,0.962059,0.98126256,0.8868271,0.9514855,0.9377119,0.9632442,0.7524556,0.79688,0.047005743,0.06316981,0.003383547,0.0044064224
1,635.62726,647.88965,621.44385,667.1819,604.10864,693.993,575.90765,754.19836,508.0433,682.763,590.1743,661.87463,584.7747,660.698,573.132,688.8676,588.53723,332.0492,319.63092,319.59827,325.81335,328.2859,384.83496,384.92957,334.3181,329.00427,308.7058,301.69562,566.3754,566.78235,610.6898,615.2748,620.638,626.66046,0.98554003,0.9690939,0.9644974,0.79415655,0.6957321,0.9625482,0.9817271,0.88787913,0.9527235,0.9379934,0.963887,0.757181,0.8018857,0.047497153,0.06419906,0.0033845603,0.0044289827
2,635.46344,647.72516,621.32446,667.02795,604.03546,693.8656,576.0217,753.99774,508.19998,682.3158,590.27826,661.72687,584.8123,660.00964,572.44446,688.42,588.27405,332.10327,319.58423,319.56403,325.46448,327.9535,384.63324,384.7301,334.47827,329.17603,308.41113,301.64032,566.33105,566.65137,610.6627,615.03894,620.7246,626.5593,0.98555356,0.9688891,0.96455777,0.7936046,0.6966029,0.9628103,0.9821683,0.88901734,0.95431215,0.9390649,0.9650877,0.75922525,0.80498874,0.047648728,0.06490612,0.003368169,0.0044335723
3,635.331,647.5976,621.2046,666.9115,603.96313,693.7498,575.9669,753.74725,508.22717,682.0519,590.2899,661.24493,584.33057,659.31415,571.6512,687.8259,587.39624,331.95007,319.44714,319.4358,325.39783,327.90698,384.57642,384.66095,334.4756,329.16144,308.26624,301.53326,566.2128,566.47534,610.67053,614.96216,620.8832,626.5813,0.9855678,0.9688873,0.9645361,0.7937795,0.6965848,0.9630432,0.9822167,0.889979,0.95453656,0.93959725,0.9652595,0.76050425,0.8057626,0.04780686,0.064974636,0.003366232,0.004422903
4,634.88995,647.0475,621.04,665.8389,603.73334,692.53796,575.58606,753.1094,508.2508,682.0694,589.32684,661.3821,585.01276,660.8772,573.28064,689.72876,589.23914,332.1579,319.8534,319.47748,325.65625,327.34766,384.35315,383.82068,334.21503,328.80615,307.9414,301.32825,565.1199,565.1378,609.9497,613.3232,620.26483,624.91034,0.98563695,0.9688676,0.9647418,0.7929137,0.6994345,0.96376705,0.9823551,0.8920508,0.9548337,0.9402882,0.9654502,0.76391363,0.8077369,0.048930287,0.06618655,0.003451109,0.00452286
5,634.8363,646.95197,620.98114,665.79193,603.72925,692.6807,575.61304,753.19,508.32056,682.0532,589.59314,661.00867,584.54816,660.56415,572.689,689.3429,588.48267,332.01886,319.6651,319.39392,325.36493,327.2696,383.95312,383.52155,334.1176,328.63843,307.943,301.20013,564.0798,564.078,610.38715,613.71063,620.90295,625.46985,0.9856547,0.96871793,0.96488535,0.7926371,0.70136094,0.9640617,0.9827951,0.89266694,0.9561292,0.94063437,0.96621644,0.76919633,0.813486,0.05008638,0.06824103,0.003507167,0.004622072
6,634.8882,646.8901,620.96735,665.5974,603.7001,692.6394,575.7487,752.98834,508.40335,681.45667,589.22644,661.33057,584.8782,661.20135,573.2075,689.661,587.96155,331.53058,319.24182,319.05798,325.14813,327.30035,383.6989,383.67188,333.2829,328.56836,307.27826,301.23376,564.439,564.61707,611.14935,614.7405,621.6221,626.29663,0.985641,0.9682912,0.9651114,0.78920865,0.7049272,0.96391016,0.9831252,0.8922329,0.9572861,0.940416,0.9669244,0.772109,0.81767356,0.050454944,0.06946111,0.0035199523,0.004673898
7,635.1147,646.9132,621.30304,665.1673,604.0592,692.3091,575.8761,752.937,508.64432,681.71844,588.9414,660.91895,584.7233,661.2248,573.9305,689.5582,587.19086,330.96204,319.12317,318.85016,325.73688,327.74084,383.78674,383.78076,333.07178,328.80627,307.10516,301.04773,563.5392,563.70703,611.68225,615.1794,622.4713,626.72864,0.9856467,0.96744394,0.9656458,0.78327143,0.7146629,0.9645975,0.9839471,0.89391416,0.9597897,0.9409489,0.9683864,0.780547,0.8267691,0.052082896,0.072607785,0.0035896301,0.004806876
8,634.9825,646.5748,621.21906,664.81604,604.2378,692.38104,576.3365,752.85156,508.352,681.08765,588.51544,661.1278,585.25385,661.81024,574.8213,690.64703,587.9172,330.53406,318.68036,318.5921,325.14636,327.5865,383.1731,383.46387,332.58832,328.50092,306.4765,300.95013,561.8361,562.1012,612.11505,615.5925,622.61365,626.7284,0.9857105,0.96746486,0.96554756,0.78560686,0.7144053,0.9654058,0.9846068,0.8964497,0.96160996,0.94240546,0.96964794,0.7895025,0.83527774,0.054169983,0.07603198,0.003677249,0.0049578846
9,635.05566,646.7082,621.18005,664.9772,603.9974,691.8459,576.0975,752.1537,508.30505,680.73376,588.4605,661.01624,585.2202,662.1705,574.98645,691.32764,587.34546,330.2409,318.38287,318.31012,324.91846,327.37128,382.81384,383.2542,332.0702,328.1848,306.2046,300.86725,561.84393,562.36194,611.823,616.0569,621.9601,627.19836,0.9857768,0.96730196,0.9659158,0.78186953,0.7174797,0.96532834,0.98459756,0.89685863,0.96180916,0.94276,0.9699061,0.7911593,0.8365438,0.05471614,0.07670945,0.0037192702,0.005004257
